"((29.595263758062984, 32.52160602136905, -2.9263422633060685), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61506, 1.01054], [1.57631, 1.00683], [1.60008, 1.00622]])"
"((27.4384842545845, 29.841576463907483, -2.4030922093229847), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61506, 1.01054], [1.5443, 1.00661], [1.58619, 1.00606]])"
"((29.61997287654678, 32.7935634466311, -3.1735905700843183), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61506, 1.01054], [1.60414, 1.00668], [1.61503, 1.00604]])"
"((26.412392616316986, 28.55290758256029, -2.1405149662433054), [[1.60954, 1.00649], [1.56101, 1.00594], [1.61503, 1.01056], [1.49552, 1.00497], [1.61503, 1.00604]])"
"((26.435775018534834, 28.550971864462596, -2.1151968459277626), [[1.60954, 1.00649], [1.56101, 1.00594], [1.61506, 1.01054], [1.49552, 1.00497], [1.61503, 1.00604]])"
"((36.08724746590513, 42.40977884142196, -6.3225313755168315), [[1.60954, 1.00649], [1.5204, 1.00668], [1.49867, 1.00593], [1.8365, 1.01938], [1.61503, 1.00604]])"
"((37.998516152314416, 57.20452036069327, -19.206004208378857), [[1.60954, 1.00649], [1.79609, 1.01763], [1.45446, 1.00345], [1.60414, 1.00668], [1.66578, 1.00854]])"
"((24.77640641412704, 26.25319698464461, -1.4767905705175686), [[1.58619, 1.00606], [1.50854, 1.00561], [1.59875, 1.00992], [1.51432, 1.00532], [1.60954, 1.00649]])"
"((24.11024408297281, 25.506713683338152, -1.396469600365343), [[1.58619, 1.00606], [1.51982, 1.00578], [1.59875, 1.00992], [1.49552, 1.00497], [1.60954, 1.00649]])"
"((23.538953288054064, 24.82299219937796, -1.284038911323897), [[1.58619, 1.00606], [1.50592, 1.00552], [1.59875, 1.00992], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((24.318213213435925, 25.69120339805241, -1.3729901846164836), [[1.58619, 1.00606], [1.5443, 1.00661], [1.57723, 1.00902], [1.51982, 1.00578], [1.61503, 1.00604]])"
"((27.152652040190908, 29.683588636987498, -2.5309365967965896), [[1.58619, 1.00606], [1.5204, 1.00668], [1.59875, 1.00992], [1.57723, 1.00902], [1.64792, 1.00881]])"
"((23.98776943740863, 25.358425432812744, -1.370655995404114), [[1.58619, 1.00606], [1.59875, 1.00992], [1.54457, 1.00776], [1.51982, 1.00578], [1.61727, 1.00636]])"
"((102.67646844018712, -81.02804161601948, 183.70451005620657), [[1.56101, 1.00594], [1.8365, 1.01938], [1.50854, 1.00561], [1.60414, 1.00668], [1.79609, 1.01763]])"
"((26.21975895639074, 28.163219522981056, -1.9434605665903142), [[1.60008, 1.00622], [1.54965, 1.00561], [1.59875, 1.00992], [1.5204, 1.00668], [1.61727, 1.00636]])"
"((25.73082820674781, 27.567015818198325, -1.8361876114505158), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.50592, 1.00552], [1.58619, 1.00606]])"
"((25.751486765977308, 27.56534062482394, -1.813853858846631), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61506, 1.01054], [1.50592, 1.00552], [1.58619, 1.00606]])"
"((25.00195607143727, 26.647352291527426, -1.6453962200901557), [[1.60008, 1.00622], [1.56949, 1.00633], [1.59875, 1.00992], [1.48534, 1.00465], [1.61503, 1.00604]])"
"((24.882954740829728, 26.54630343454864, -1.6633486937189126), [[1.60008, 1.00622], [1.5443, 1.00661], [1.59875, 1.00992], [1.49867, 1.00593], [1.60414, 1.00668]])"
"((26.34837902394591, 28.237429863676535, -1.8890508397306256), [[1.60008, 1.00622], [1.5204, 1.00668], [1.59875, 1.00992], [1.54965, 1.00561], [1.60954, 1.00649]])"
"((26.57188029779138, 28.57559525574182, -2.0037149579504394), [[1.60008, 1.00622], [1.54457, 1.00776], [1.57723, 1.00902], [1.57631, 1.00683], [1.61727, 1.00636]])"
"((25.190195692134285, 26.941251888074365, -1.7510561959400803), [[1.60008, 1.00622], [1.61503, 1.01056], [1.54457, 1.00776], [1.5443, 1.00661], [1.61727, 1.00636]])"
"((29.492904634838993, 33.02889674478817, -3.535992109949177), [[1.60008, 1.00622], [1.59875, 1.00992], [1.57723, 1.00902], [1.60157, 1.00865], [1.66578, 1.00854]])"
"((25.20218895742935, 26.940312870338172, -1.7381239129088222), [[1.60008, 1.00622], [1.61506, 1.01054], [1.54457, 1.00776], [1.5443, 1.00661], [1.61727, 1.00636]])"
"((27.41202174599895, 29.90234441540113, -2.4903226694021825), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61503, 1.01056], [1.50854, 1.00561], [1.60954, 1.00649]])"
"((27.52963859592415, 29.988233347788462, -2.458594751864311), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61503, 1.01056], [1.49867, 1.00593], [1.60414, 1.00668]])"
"((26.520369983953078, 28.752565489007235, -2.2321955050541575), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61503, 1.01056], [1.50592, 1.00552], [1.60954, 1.00649]])"
"((27.43696880525176, 29.900237658357035, -2.4632688531052764), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61506, 1.01054], [1.50854, 1.00561], [1.60954, 1.00649]])"
"((27.55446460812163, 29.986142228460036, -2.431677620338405), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61506, 1.01054], [1.49867, 1.00593], [1.60414, 1.00668]])"
"((28.546030211418206, 31.19462946460988, -2.648599253191673), [[1.61727, 1.00636], [1.57631, 1.00683], [1.59875, 1.00992], [1.5443, 1.00661], [1.61503, 1.00604]])"
"((29.19204493533793, 32.19167383479245, -2.9996288994545175), [[1.61727, 1.00636], [1.5204, 1.00668], [1.61503, 1.01056], [1.58619, 1.00606], [1.60954, 1.00649]])"
"((27.31090047492318, 29.53483487753773, -2.2239344026145496), [[1.61727, 1.00636], [1.5204, 1.00668], [1.61506, 1.01054], [1.50592, 1.00552], [1.56949, 1.00633]])"
"((29.220709843676648, 32.18920075076872, -2.9684909070920718), [[1.61727, 1.00636], [1.5204, 1.00668], [1.61506, 1.01054], [1.58619, 1.00606], [1.60954, 1.00649]])"
"((25.707694312978038, 27.533080325991516, -1.8253860130134782), [[1.61727, 1.00636], [1.54457, 1.00776], [1.59875, 1.00992], [1.49867, 1.00593], [1.56949, 1.00633]])"
"((27.17715449136947, 29.515108969597037, -2.337954478227566), [[1.61727, 1.00636], [1.54457, 1.00776], [1.59875, 1.00992], [1.56101, 1.00594], [1.60008, 1.00622]])"
"((33.55387284449703, 46.78146044562385, -13.227587601126821), [[1.61727, 1.00636], [1.79609, 1.01763], [1.50592, 1.00552], [1.50854, 1.00561], [1.64792, 1.00881]])"
