"((30.091344952530804, 33.248712147390044, -3.1573671948592406), [[1.61503, 1.00604], [1.56101, 1.00594], [1.57723, 1.00902], [1.61506, 1.01054], [1.61727, 1.00636]])"
"((24.796860651865053, 26.38744329182421, -1.5905826399591554), [[1.61503, 1.00604], [1.56101, 1.00594], [1.61503, 1.01056], [1.45446, 1.00345], [1.58619, 1.00606]])"
"((24.801974615236528, 26.38400559154328, -1.5820309763067506), [[1.61503, 1.00604], [1.56101, 1.00594], [1.61503, 1.01056], [1.45446, 1.00345], [1.58618, 1.00607]])"
"((26.861804111738167, 28.98884808432864, -2.1270439725904744), [[1.61503, 1.00604], [1.56101, 1.00594], [1.61503, 1.01056], [1.49552, 1.00497], [1.60414, 1.00668]])"
"((24.815891022619656, 26.38592099704987, -1.5700299744302129), [[1.61503, 1.00604], [1.56101, 1.00594], [1.61506, 1.01054], [1.45446, 1.00345], [1.58619, 1.00606]])"
"((25.762709087340564, 27.78041227845975, -2.0177031911191854), [[1.61503, 1.00604], [1.58399, 1.00622], [1.61506, 1.01054], [1.4848, 1.00388], [1.61727, 1.00636]])"
"((26.728367764951674, 28.856523099524004, -2.1281553345723303), [[1.61503, 1.00604], [1.58618, 1.00607], [1.61503, 1.01056], [1.4848, 1.00388], [1.61727, 1.00636]])"
"((24.906460265691653, 26.235653497909084, -1.3291932322174311), [[1.61503, 1.00604], [1.5204, 1.00668], [1.57723, 1.00902], [1.49867, 1.00593], [1.52646, 1.0045]])"
"((25.563891185374807, 27.197476150829655, -1.6335849654548475), [[1.61503, 1.00604], [1.5204, 1.00668], [1.59875, 1.00992], [1.51432, 1.00532], [1.56101, 1.00594]])"
"((25.461267031964276, 27.077904747702423, -1.6166377157381469), [[1.61503, 1.00604], [1.5204, 1.00668], [1.59875, 1.00992], [1.51392, 1.00532], [1.56101, 1.00594]])"
"((24.712309481446642, 26.131454361392894, -1.419144879946252), [[1.61503, 1.00604], [1.54457, 1.00776], [1.57723, 1.00902], [1.49867, 1.00593], [1.54965, 1.00561]])"
"((24.819517120987047, 26.329303571757176, -1.5097864507701289), [[1.61503, 1.00604], [1.54457, 1.00776], [1.57723, 1.00902], [1.5204, 1.00668], [1.56101, 1.00594]])"
"((26.684843135974127, 28.71488000864687, -2.030036872672742), [[1.61503, 1.00604], [1.57723, 1.00902], [1.60157, 1.00865], [1.50854, 1.00561], [1.60714, 1.00656]])"
"((25.368860594027012, 27.174258415335206, -1.805397821308194), [[1.61503, 1.00604], [1.57723, 1.00902], [1.60157, 1.00865], [1.49867, 1.00593], [1.60414, 1.00668]])"
"((25.474960854409783, 27.296936689229586, -1.8219758348198027), [[1.61503, 1.00604], [1.61503, 1.01056], [1.60157, 1.00865], [1.45446, 1.00345], [1.60714, 1.00656]])"
"((26.953710744574884, 29.376907135745345, -2.4231963911704604), [[1.61503, 1.00604], [1.61503, 1.01056], [1.5443, 1.00661], [1.59875, 1.00992], [1.61727, 1.00636]])"
"((25.4867979666764, 27.296011589592933, -1.809213622916534), [[1.61503, 1.00604], [1.61506, 1.01054], [1.60157, 1.00865], [1.45446, 1.00345], [1.60714, 1.00656]])"
"((26.968264615724053, 29.375725626590366, -2.4074610108663137), [[1.61503, 1.00604], [1.61506, 1.01054], [1.5443, 1.00661], [1.59875, 1.00992], [1.61727, 1.00636]])"
"((27.531275055518794, 29.981859424052537, -2.450584368533743), [[1.61503, 1.00604], [1.55519, 1.00665], [1.57723, 1.00902], [1.59875, 1.00992], [1.60714, 1.00656]])"
"((24.998246010614505, 26.71170237460148, -1.7134563639869747), [[1.56949, 1.00633], [1.45446, 1.00345], [1.61503, 1.01056], [1.5204, 1.00668], [1.61727, 1.00636]])"
"((25.019212261179085, 26.710005308834912, -1.690793047655827), [[1.56949, 1.00633], [1.45446, 1.00345], [1.61506, 1.01054], [1.5204, 1.00668], [1.61727, 1.00636]])"
"((24.665651296958394, 26.525956884687634, -1.8603055877292398), [[1.56949, 1.00633], [1.5204, 1.00668], [1.61503, 1.01056], [1.51982, 1.00578], [1.66578, 1.00854]])"
"((25.565513968028405, 27.55672464620202, -1.9912106781736156), [[1.60414, 1.00668], [1.53721, 1.00588], [1.61503, 1.01056], [1.50854, 1.00561], [1.61503, 1.00604]])"
"((25.58735827178219, 27.554926782670666, -1.9675685108884764), [[1.60414, 1.00668], [1.53721, 1.00588], [1.61506, 1.01054], [1.50854, 1.00561], [1.61503, 1.00604]])"
"((24.223224635707954, 25.87249610857256, -1.649271472864605), [[1.60414, 1.00668], [1.60157, 1.00865], [1.59875, 1.00992], [1.45446, 1.00345], [1.61503, 1.00604]])"
"((25.535434743666453, 27.396969763392722, -1.8615350197262686), [[1.60414, 1.00668], [1.57631, 1.00683], [1.61506, 1.01054], [1.45446, 1.00345], [1.61503, 1.00604]])"
"((27.11110261460402, 29.458697414328626, -2.347594799724604), [[1.60414, 1.00668], [1.5443, 1.00661], [1.59875, 1.00992], [1.54457, 1.00776], [1.61727, 1.00636]])"
"((25.73457969638245, 27.774590645300208, -2.0400109489177574), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61503, 1.01056], [1.51982, 1.00578], [1.60714, 1.00656]])"
"((25.756311742463982, 27.772794717866077, -2.016482975402095), [[1.60414, 1.00668], [1.5204, 1.00668], [1.61506, 1.01054], [1.51982, 1.00578], [1.60714, 1.00656]])"
"((25.289549310455175, 27.07062677670025, -1.7810774662450761), [[1.60414, 1.00668], [1.54457, 1.00776], [1.59875, 1.00992], [1.50592, 1.00552], [1.60008, 1.00622]])"
"((26.243563582487596, 28.326928910374768, -2.083365327887172), [[1.60414, 1.00668], [1.59875, 1.00992], [1.54457, 1.00776], [1.57723, 1.00902], [1.61503, 1.00604]])"
"((26.202170148071005, 28.161988173776074, -1.9598180257050686), [[1.60414, 1.00668], [1.55519, 1.00665], [1.61503, 1.01056], [1.4848, 1.00388], [1.61503, 1.00604]])"
"((26.225155650616735, 28.160108083546735, -1.9349524329300003), [[1.60414, 1.00668], [1.55519, 1.00665], [1.61506, 1.01054], [1.4848, 1.00388], [1.61503, 1.00604]])"
"((31.46110446239156, 35.608913280110635, -4.147808817719074), [[1.60954, 1.00649], [1.49514, 1.00407], [1.61503, 1.01056], [1.61506, 1.01054], [1.61503, 1.00604]])"
"((31.48139397856813, 35.607012672724125, -4.125618694155996), [[1.60954, 1.00649], [1.49514, 1.00407], [1.61506, 1.01054], [1.61503, 1.01056], [1.61503, 1.00604]])"
"((29.56649216462931, 32.52407135670928, -2.9575791920799688), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61503, 1.01056], [1.57631, 1.00683], [1.60008, 1.00622]])"
"((29.590043247687294, 32.79616904509699, -3.206125797409694), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61503, 1.01056], [1.60414, 1.00668], [1.61503, 1.00604]])"
"((30.856580582189967, 34.308966594538454, -3.4523860123484873), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61503, 1.01056], [1.60714, 1.00656], [1.61503, 1.00604]])"
"((29.595263758062984, 32.52160602136905, -2.9263422633060685), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61506, 1.01054], [1.57631, 1.00683], [1.60008, 1.00622]])"
"((27.4384842545845, 29.841576463907483, -2.4030922093229847), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61506, 1.01054], [1.5443, 1.00661], [1.58619, 1.00606]])"
"((27.44443659758806, 29.83740998605478, -2.3929733884667215), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61506, 1.01054], [1.5443, 1.00661], [1.58618, 1.00607]])"
"((29.61997287654678, 32.7935634466311, -3.1735905700843183), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61506, 1.01054], [1.60414, 1.00668], [1.61503, 1.00604]])"
"((30.889253523698876, 34.306104789059034, -3.416851265360158), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61506, 1.01054], [1.60714, 1.00656], [1.61503, 1.00604]])"
"((25.34728412051904, 27.282639474774925, -1.9353553542558863), [[1.60954, 1.00649], [1.53721, 1.00588], [1.61503, 1.01056], [1.49867, 1.00593], [1.60008, 1.00622]])"
"((25.36794557027397, 27.28094435579368, -1.912998785519708), [[1.60954, 1.00649], [1.53721, 1.00588], [1.61506, 1.01054], [1.49867, 1.00593], [1.60008, 1.00622]])"
"((26.412392616316986, 28.55290758256029, -2.1405149662433054), [[1.60954, 1.00649], [1.56101, 1.00594], [1.61503, 1.01056], [1.49552, 1.00497], [1.61503, 1.00604]])"
"((26.435775018534834, 28.550971864462596, -2.1151968459277626), [[1.60954, 1.00649], [1.56101, 1.00594], [1.61506, 1.01054], [1.49552, 1.00497], [1.61503, 1.00604]])"
"((24.975247171041644, 26.5391710943337, -1.5639239232920552), [[1.58619, 1.00606], [1.48535, 1.00466], [1.61503, 1.01056], [1.49514, 1.00407], [1.60008, 1.00622]])"
"((24.99526520496657, 26.53757269958167, -1.5423074946150983), [[1.58619, 1.00606], [1.48535, 1.00466], [1.61506, 1.01054], [1.49514, 1.00407], [1.60008, 1.00622]])"
"((25.384181574780566, 27.174650429429427, -1.7904688546488607), [[1.58619, 1.00606], [1.49514, 1.00407], [1.61503, 1.01056], [1.51392, 1.00532], [1.61727, 1.00636]])"
"((25.529545197868405, 27.31947212482174, -1.7899269269533349), [[1.58619, 1.00606], [1.49514, 1.00407], [1.61506, 1.01054], [1.51432, 1.00532], [1.61727, 1.00636]])"
"((25.405828155133687, 27.172891655218017, -1.7670635000843298), [[1.58619, 1.00606], [1.49514, 1.00407], [1.61506, 1.01054], [1.51392, 1.00532], [1.61727, 1.00636]])"
"((24.066956190545216, 25.482118527200804, -1.4151623366555874), [[1.58619, 1.00606], [1.51432, 1.00532], [1.59875, 1.00992], [1.49867, 1.00593], [1.60714, 1.00656]])"
"((24.415183067046332, 25.94588141114261, -1.5306983440962796), [[1.58619, 1.00606], [1.49552, 1.00497], [1.61506, 1.01054], [1.49514, 1.00407], [1.60954, 1.00649]])"
"((23.911081573767188, 25.298374883758633, -1.3872933099914455), [[1.58619, 1.00606], [1.51392, 1.00532], [1.59875, 1.00992], [1.49867, 1.00593], [1.60714, 1.00656]])"
"((23.589264168503878, 24.910107836601224, -1.3208436680973463), [[1.58619, 1.00606], [1.51392, 1.00532], [1.61506, 1.01054], [1.45446, 1.00345], [1.60414, 1.00668]])"
"((24.77640641412704, 26.25319698464461, -1.4767905705175686), [[1.58619, 1.00606], [1.50854, 1.00561], [1.59875, 1.00992], [1.51432, 1.00532], [1.60954, 1.00649]])"
"((24.66208533808414, 26.12029873543765, -1.4582133973535107), [[1.58619, 1.00606], [1.50854, 1.00561], [1.59875, 1.00992], [1.51392, 1.00532], [1.60954, 1.00649]])"
"((24.11024408297281, 25.506713683338152, -1.396469600365343), [[1.58619, 1.00606], [1.51982, 1.00578], [1.59875, 1.00992], [1.49552, 1.00497], [1.60954, 1.00649]])"
"((23.538953288054064, 24.82299219937796, -1.284038911323897), [[1.58619, 1.00606], [1.50592, 1.00552], [1.59875, 1.00992], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((24.318213213435925, 25.69120339805241, -1.3729901846164836), [[1.58619, 1.00606], [1.5443, 1.00661], [1.57723, 1.00902], [1.51982, 1.00578], [1.61503, 1.00604]])"
"((23.276429148027127, 24.442346569140287, -1.1659174211131607), [[1.58619, 1.00606], [1.5443, 1.00661], [1.59875, 1.00992], [1.45446, 1.00345], [1.60714, 1.00656]])"
"((24.235732954424954, 25.57638747675024, -1.3406545223252877), [[1.58619, 1.00606], [1.5204, 1.00668], [1.59875, 1.00992], [1.4848, 1.00388], [1.60414, 1.00668]])"
"((27.152652040190908, 29.683588636987498, -2.5309365967965896), [[1.58619, 1.00606], [1.5204, 1.00668], [1.59875, 1.00992], [1.57723, 1.00902], [1.64792, 1.00881]])"
"((23.718932510278087, 24.97046854805743, -1.251536037779342), [[1.58619, 1.00606], [1.61503, 1.01056], [1.54457, 1.00776], [1.49514, 1.00407], [1.61503, 1.00604]])"
